NAME,SYMBOL,LAST,CHANGE,%CHANGE,YTD %CHG,52WK%CHG,YIELD,PE,50 D MA,200 D MA,ANNUAL H,ANNUAL L,VLM,VLM CROSSES 50 D AVG VLM (H or L),
Dominion Energy,D,77.04,-0.02,-0.03,0.588,-1.116,3.92,21.58,78.85,75.96,81.65,69.51,1.02M,-1461175,
Donaldson Company,DCI,45.4,0.42,0.93,7.89,30.908,1.542,27.19,46.34,42.58,48.91,33.35,98K,-464829.56,
DuPont,DD,80.64,0.18,0.22,9.864,24.167,1.885,29.54,80.11,75.57,83.93,61.12,972K,-1583478.5,
3D Systems,DDD,19.25,-0.93,-4.63,44.846,47.48,0,NA,19.96,16.44,23.7,11.98,2.03M,-1112305,
Deckers Outdoor ,DECK,68.37,0.47,0.69,23.434,18.046,0,455.8,63.84,58.68,72.72,44,196K,-516397.69,
Walt Disney ,DIS,106.26,0.55,0.52,1.957,8.066,1.468,18.51,108.68,104.82,116.1,90.32,2.42M,-5089373,
Dollar Tree,DLTR,69.86,0.15,0.22,-9.471,-26.008,0,19.14,77.28,78.34,99.93,65.63,1.26M,-1970082.75,
Daimler AG,DMLRY,72.56,-0.76,-1.04,,,3.486,,73.98,73.94,78.1,69,32K,12449.04,
Dow Chemical,DOW,63,0.29,0.46,10.101,26.152,2.921,16.03,62.79,59.18,65.47,47.51,1.56M,-4255899,
Duke Energy,DUK,83.86,-0.17,-0.2,8.039,-2.052,4.078,26.79,84.43,80.08,87.75,72.34,1.53M,-1030035,
Electronic Arts,EA,106.64,-0.03,-0.03,35.399,40.813,0,34.62,106.27,89.08,116.04,73.23,1.16M,-2375504,
eBay,EBAY,34.82,0.31,0.9,17.312,47.416,0,4.99,34.24,32.06,36.5,23.25,4.53M,-4480388,
Ecolab,ECL,132.68,1.23,0.94,13.189,10.835,1.115,31.29,130.06,122.54,134.89,110.65,261K,-733891.19,
Edison International,EIX,78.73,0.57,0.73,9.362,0.631,2.756,18.39,80.09,75.38,82.82,67.44,883K,-753914.63,
EOG Resources,EOG,89.9,-0.1,-0.11,-11.078,7.888,0.745,NA,90.99,96.09,109.37,78.04,1.27M,-2123875.5,
Equinix REIT,EQIX,425.94,4.66,1.11,19.261,8.653,1.877,152.78,429.22,382.6,447.26,314.55,202K,-315253.59,Equinix REIT
Eaton Vance,EV,47.34,0.08,0.17,13.037,33.729,2.366,20.85,45.97,42.75,49.03,34.05,173K,-454692.44,
Exelon,EXC,36.21,0.37,1.03,2.029,-1.43,3.618,17.16,35.6,34.82,37.7,29.82,1.9M,-3210288,
Expedia,EXPE,149.09,1.01,0.68,31.638,39.332,0.751,76.08,143.17,126.96,156.39,103.93,677K,-1163486.63,
Ford,F,11.23,0.06,0.54,-7.42,-11.138,5.343,12.08,11.14,11.92,14.04,10.67,20.03M,-20749075,
Facebook,FB,151.17,0.13,0.09,31.404,32.167,0,39.99,150.48,134.55,156.5,112.97,8.31M,-10002846,
FedEx,FDX,217.39,2.16,1,16.751,41.804,0.92,19.66,198.59,189.13,217.33,149.01,530K,-1040116,
F5 Networks,FFIV,127.6,0.29,0.23,-11.768,11.841,0,21.72,129.63,135.37,149.5,110.86,277K,-621615.94,
Floor & Decor ,FND,39.27,-1.43,-3.51,,,0,84.27,38.97,38.97,46.99,29.37,321K,-234981.31,
First Solar,FSLR,39.93,-0.15,-0.37,24.462,-17.327,0,NA,35.52,34.1,49.5,25.56,501K,-2874695,
General Dynamics,GD,196.9,-0.06,-0.03,14.039,41.454,1.706,20.28,197.86,179.51,205.17,135.81,399K,-671108.5,
General Electric ,GE,26.92,-0.1,-0.37,-14.81,-14.168,3.566,27.47,28.32,29.72,33,26.79,10.39M,-29405521,
Graco,GGG,109.39,0.57,0.52,31.652,37.764,1.316,103.19,109.33,90.62,114.65,69.33,185K,-135630,
Gilead Sciences,GILD,70.67,-0.18,-0.25,-1.299,-15.056,2.943,7.47,66.47,71,88.85,63.76,3.52M,-5584283,
Gold,GLD,118.17,-0.15,-0.13,7.81,-6.444,0,,119.45,117.92,131.15,107,3.26M,-4529493,Gold
General Motors,GM,34.98,0.12,0.36,0.402,23.18,4.345,5.42,33.95,34.5,38.55,27.52,4.97M,-8357904,
GameStop,GME,21.71,0.1,0.44,-14.054,-18.698,7.003,6.42,22.68,24.15,32.67,20.1,457K,-2478729,
Alphabet (Google),GOOG,914.35,-2.83,-0.31,18.52,32.609,0,30.97,936.21,834.02,988.25,683.65,1.11M,-599848,
Canada Goose,GOOS,19.68,-0.02,-0.1,,,0,,19.04,18.15,24.32,15.2,737K,-250642.75,
Goldman Sachs,GS,222.31,-2.1,-0.94,-7.158,51.036,1.349,11.81,221.44,218.4,255.15,142.62,1.54M,-1875298.25,
W. W. Grainger,GWW,179.48,0.52,0.29,-22.721,-21.25,2.853,18.35,180.72,219.44,262.71,168.58,264K,-725641.56,
Hyatt Hotels,H,56.37,-0.08,-0.14,2.009,14.876,0,31.14,57.28,54.16,59.3,47.83,114K,-648280.81,
Halliburton,HAL,42.44,0.02,0.05,-21.538,-6.337,1.697,NA,45.19,49.37,58.78,40.12,2.44M,-7823040,
Welltower,HCN,74.6,0.1,0.13,11.46,-2.192,4.665,23.02,73.21,69.3,80.19,59.39,644K,-1121798.38,
Home Depot,HD,153.27,1.11,0.73,14.312,19.164,2.323,22.94,154.9,140.39,160.86,119.2,1.17M,-3350269,
RANGER EQUITY BEAR ETF,HDGE,8.56,-0.01,-0.12,-7.459,-19.189,0,,8.76,9.13,10.91,8.49,147K,-51147.38,RANGER EQUITY BEAR ETF
Hilton Hotels,HLT,62.57,0.32,0.51,8.817,30.693,0.959,184.03,63.46,56.68,67.79,46.09,913K,-2887215.25,
Hon Hai Precision,HNHPF,7.75,-0.02,-0.26,53.465,55.711,5.164,,6.995,6.138,7.773,4.84,128,-1654.72,
At Home,HOME,23.05,0.29,1.27,57.553,,0,46.1,19.7,15.49,24.03,10.19,63K,-135556.73,
Honeywell,HON,133.2,0.88,0.67,14.976,14.406,1.997,21.11,132.22,121.3,135.9,105.25,588K,-2389138.5,
Hertz,HTZ,11.47,0.05,0.44,-46.8,-66.461,0,NA,11.58,22.33,53.14,8.52,5.22M,-2371495,
International Business Machines,IBM,154.19,0.06,0.04,-7.109,1.548,3.891,12.68,154.59,163.59,182.79,147.79,2.2M,-2176845.5,
Industrial and Commercial Bank of China,IDCBY,12.72,-0.02,-0.16,7.432,15.818,4.419,,13.18,12.618,13.87,10.599,128K,97620.1,
7-10 Year Treasury Bond ETF,IEF,106.8,-0.06,-0.06,1.889,-5.394,1.756,,106.91,106.76,113.91,103.43,517K,-1526628.63,7-10 Year Treasury Bond ETF
Global Infrastructure ETF,IGF,43.84,-0.01,-0.02,12.423,8.453,2.893,,44,41.18,45.48,37.33,29K,-180874.81,Global Infrastructure ETF
Intel,INTC,33.73,0.19,0.57,-6.975,2.256,3.231,14.67,35.81,36.01,38.45,31.97,12.24M,-10234967,
International Paper,IP,56.53,0.85,1.52,6.54,31.383,3.273,30.07,53.96,51.44,58.86,40.99,554K,-1907878.75,
Illinois Tool Works,ITW,143.04,1.42,1,16.805,35.964,1.818,24.04,141.27,129.05,150.29,102.14,435K,-883218.5,
US Telecommunications ETF,IYZ,32.21,-0.09,-0.28,-6.638,-3.003,2.851,,33.05,33.04,36.74,29.31,242K,-252843.91,US Telecommunications ETF
JetBlue Airways,JBLU,22.87,0.02,0.09,2.007,37.983,0,12.3,22.21,20.48,23.37,15.7,871K,-3972668.5,
Johnson & Johnson,JNJ,132.61,-0.03,-0.02,15.103,9.349,2.534,22.29,128.25,120.64,137,109.32,1.75M,-4046776.5,
JPMorgan Chase,JPM,91.25,0.1,0.11,5.748,46.685,2.192,14.06,86.28,82.41,93.98,58.76,7.91M,-6427181,
Nordstrom,JWN,48.02,0.46,0.97,0.188,24.993,3.082,22.54,45.43,48.37,62.82,36.79,625K,-2925892.5,
Kellogg's,K,69.5,0.81,1.17,-5.712,-15.873,2.993,31.59,71.47,73.38,87.16,68.56,672K,-1699372,
Kinder Morgan,KMI,19.03,--,-0.03,-8.112,1.709,2.627,61.4,19.51,21.03,23.36,17.95,4.56M,-8416073,
Coca-Cola ,KO,45.06,0.24,0.52,8.683,-1.103,3.284,31.51,44.5,42.49,46.06,39.88,2.98M,-8567101,
Layne Christensen ,LAYN,8.85,0.12,1.37,-18.307,7.778,0,NA,8.04,9.14,11.42,6.98,41K,-93828.78,
Lockheed Martin,LMT,277.38,0.65,0.23,10.979,11.508,2.625,16.12,276.06,260.81,284.98,228.5,325K,-614265.75,
Lowe's,LOW,77.5,0.9,1.18,8.971,-3.246,2.116,24.37,81.77,76.03,86.25,64.87,2.21M,-3772780.5,
LyondellBasell,LYB,84.49,0.72,0.86,-1.504,12.564,4.261,9.7,81.92,85.54,97.64,71.48,702K,-2245217.75,
Mastercard,MA,122.16,0.65,0.53,18.315,37.985,0.72,31.9,120.13,109.89,126.19,86.65,1.24M,-2082972.25,
Marriott International,MAR,100.81,0.6,0.6,21.916,50.782,1.31,36.26,102.05,86.09,110.51,64.88,726K,-2077899.25,
McDonald's,MCD,153.43,0.3,0.2,26.052,27.248,2.451,27.11,147.66,128.14,155.46,110.33,898K,-2742831.25,
McKesson,MCK,164.61,0.97,0.59,17.202,-12.328,0.68,6.89,153.31,149.5,199.43,114.53,478K,-1323815.63,
Medtronic,MDT,88.82,0.11,0.12,24.695,2.236,2.072,30.73,85.19,80.7,89.72,69.35,1.24M,-3262975.5,
Marsh & McLennan Companies,MMC,77.69,0.03,0.04,14.943,13.439,1.931,21.82,76.06,71.01,80.47,62.33,793K,-1030707.25,
3M,MMM,208.12,0.27,0.13,16.548,18.69,2.258,25.17,202.26,184.7,214.57,163.85,561K,-1377911.75,
Altria,MO,74.57,0.17,0.24,10.278,7.889,3.272,10.09,73.44,69.51,77.79,60.82,2.07M,-3758339.5,
Monsanto,MON,118.34,0.34,0.29,12.48,14.109,1.825,25.61,116.9,109.48,118.87,97.35,6.84M,5119044.75,
Merck & Co.,MRK,64.19,-0.15,-0.23,9.037,11.682,2.929,29.31,63.99,62.86,66.8,56.91,2.67M,-6763279,
Marvell Technology Group ,MRVL,16.56,-0.27,-1.6,19.394,76.6,1.449,57.1,16.46,14.91,18.18,9.13,8.6M,1331123,
Morgan Stanley,MS,44.51,-0.24,-0.54,5.349,72.248,1.797,13.21,43.42,41.09,47.33,24.57,3.94M,-5693106,
MSA Safety,MSA,81.85,0.42,0.51,18.059,55.016,1.711,33.82,79.63,68.77,84.86,50.26,70K,-160559.95,
Microsoft Corporation,MSFT,69.08,0.59,0.86,11.168,33.848,2.258,30.57,69.41,63.82,72.89,50.39,11.72M,-15051440,
Motorola,MSI,86.93,0.13,0.15,4.874,31.575,2.163,24.01,85.1,81.28,89.15,64.05,486K,-599495.25,
Nordson ,NDSN,120.87,1.84,1.55,8.077,42.411,0.892,25.55,122.37,113.97,131.49,81.48,97K,-275026.13,
NextEra Energy,NEE,140.51,0.54,0.39,17.621,7.339,2.797,17.11,138.22,127.13,144.87,110.49,730K,-1159947.38,
Nestlé,NSRGY,87.16,-0.54,-0.62,21.494,13.439,2.199,17.64,82.8,76.04,89.4,66.08,561K,-298687.19,
